"ReturnCode","LL","tvV","tvCl","dVdWT","dCldWT","dVdAGE","dCldAGE","CEps","Ke","Tinf","AUC","Coef","Cmax","AUMCIV","AUMC","MRT","VSS","Ke_hl","omega(nV,nV)","omega(nCl,nV)","omega(nCl,nCl)"
1,-444.279,24.8595,7.94171,1.158,1.40123,-0.134991,-0.207424,0.66171,0.319463,1.3,9.28012,7.13855,2.4261,29.0491,35.0812,3.13025,24.8595,2.16973,0.0982549,0.0887919,0.0834955
1,-428.831,24.0255,7.73941,1.11952,1.34664,-0.12435,-0.203635,0.660014,0.322134,0.9833,10.0783,10.2494,2.78262,31.286,36.241,3.1043,24.0255,2.15174,0.100375,0.0893343,0.0827752
1,-492.504,22.8642,7.50449,1.12361,1.43799,-0.111643,-0.161843,0.674815,0.32822,1.3,9.82079,7.55445,2.6239,29.9214,36.3049,3.04674,22.8642,2.11184,0.11427,0.111454,0.121087
3,-573.65,27.2971,8.87667,2.21089,2.447,-0.217928,-0.225154,0.831354,0.325187,0.833301,11.9414,14.3303,3.40153,36.7217,41.6971,3.07516,27.2971,2.13154,0.230834,0.183059,0.145173
1,-344.646,19.236,6.11557,1.07388,1.30598,-0.0784208,-0.17949,0.482096,0.317924,1.05,21.5842,20.5564,5.83426,67.8913,79.223,3.14541,19.236,2.18023,0.00633681,0.0153278,0.0370808
1,-444.753,20.8266,6.46427,1.27301,1.31481,-0.197878,-0.0757395,0.628744,0.310386,1.05,18.5636,17.6797,4.91716,59.8081,69.554,3.2218,20.8266,2.23318,0.131102,0.12403,0.126015
1,-532.194,24.7662,7.7641,1.89319,2.05852,-0.191244,-0.218247,0.752981,0.313495,0.9833,10.0462,10.2169,2.71029,32.0459,36.9851,3.18984,24.7662,2.21103,0.18855,0.173984,0.170747
1,-446.682,23.8046,7.35848,0.276773,0.397607,0.630526,0.72207,0.636093,0.309119,1.3,10.0157,7.70435,2.54954,32.4006,38.9108,3.235,23.8046,2.24233,0.114073,0.113654,0.121013
2,-598.674,28.7747,9.1394,1.71367,1.89841,-0.188696,-0.194865,0.822904,0.317619,1.05,10.9416,10.4206,2.95516,34.4489,40.1933,3.14843,28.7747,2.18232,0.216566,0.181973,0.156007
1,-505.422,25.9178,7.91322,1.6215,1.68509,-0.179206,-0.195064,0.824292,0.30532,0.9833,9.85692,10.0243,2.59976,32.2839,37.1301,3.27526,25.9178,2.27023,0.193353,0.18758,0.190864
3,-546.831,25.3107,8.5089,1.56631,1.917,-0.165614,-0.191075,0.736372,0.336178,1,7.40401,7.40401,2.11387,22.0241,25.7261,2.97462,25.3107,2.06185,0.231845,0.194143,0.162572
3,-381.835,19.6601,6.74751,1.16293,1.65026,-0.0867892,-0.183676,0.544118,0.343208,1.016,31.2708,30.7783,9.06099,91.1132,106.999,2.91368,19.6601,2.01961,0.0161835,0.0333868,0.0688799
1,-453.002,22.1589,7.37002,1.37612,1.63304,-0.142964,-0.212242,0.641394,0.332599,1.05,17.9104,17.0575,5.02801,53.8499,63.2529,3.00663,22.1589,2.08404,0.110143,0.0983309,0.102475
2,-348.044,19.3072,6.68077,0.777732,1.20295,0.0664544,0.0543134,0.519038,0.346025,1,8.83132,8.83132,2.58321,25.5222,29.9379,2.88996,19.3072,2.00317,0.0257759,0.0347185,0.046779
1,-590.38,30.6092,9.85796,1.60926,1.9267,-0.197632,-0.234548,0.83113,0.322059,0.9166,4.26052,4.64817,1.18815,13.229,15.1816,3.10502,30.6092,2.15224,0.252321,0.207352,0.170404
